"LANGUAGE","Русский"
"MCU_NAM","Больше CitizenUnits"
"MCU_DESC","Увеличивает количество CitizenUnits (НЕ граждан!), поддерживаемых игрой."
"MCU_BOOST","Увеличить ограничение CitizenUnit (базовая игра: 524,288)"
"MCU_X2","Увеличить ограничение CitizenUnit до 1 048 576"
"MCU_BOOST_TXT1","Игры, сохранённые с увеличенными ограничениями CitizenUnit, НЕ будут загружаться без этого мода. Это НЕ обратимо."
"MCU_BOOST_TXT2","Сохранения с увеличенными ограничениями CitizenUnit всегда будут загружаться с увеличенными ограничениями."
"MCU_FIX","Обнаружить и исправить недопустимые CitizenUnits при загрузке"
"MCU_CLEAN","Восстановить повреждённый массив CitizenUnit"
"MCU_NUKE","Сбросить весь массив CitizenUnit при следующей загрузке"
"MCU_NUKE_TXT1","При выборе этой опции весь массив CitizenUnit вашего города будет перестроен с нуля при следующей загрузке. Это сбросит все возможности транспортных средств и зданий до их текущего расчётного значения (включая эффекты модов, таких как Ploppable RICO Revisited и Realistic Population) и распределит ваше существующее население по фиксированным значениям как можно лучше."
"MCU_NUKE_TXT2","Этот вариант может привести к временному сокращению населения города, но гарантирует исправление любых повреждений данных."
"MCU_NUKE_TXT3","Попробуйте это, если вы сталкиваетесь с ошибками, которые могут указывать на повреждённый массив CitizenUnit. Например: здания с населением 0/0, даже если предел CitizenUnit не был достигнут, или здания, население которых колеблется без причины."
"MCU_NUKE_TXT4","Эта опция автоматически деактивируется после использования, так как её не нужно использовать более одного раза."
"TRN_CHOICE","Выбрать язык"
"TRN_SYS","Использ. язык игры"
